Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.0012714560591909041
2,0.0,0.0,0.0,0.0006728043556526034
3,0.0,0.0,0.0,0.00044145644729104644
4,0.0,0.0,0.0,0.00035995327823129433
5,0.0,0.0,0.0,0.0003069506259757066
6,0.0,0.0,1.0,0.000274031828299161
7,0.0,0.0,1.0,0.0002587976527076309
8,0.0,1.0,2.0,0.00024156027911119443
9,1.0,1.0,2.0,0.00024028382995585035
10,1.0,1.0,3.0,0.00023362443728643806
11,1.0,1.0,3.0,0.0002366816059434698
12,1.0,1.0,3.0,0.00024003587525453263
13,1.0,1.0,3.0,0.00024231329758894136
14,9.0,8.0,20.0,0.0004739651259737975
