Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.0007706788722876612
2,0.0,0.0,0.0,0.0006925780207733651
3,0.0,0.0,0.0,0.0005610119257208534
4,0.0,0.0,0.0,0.0004612221339575209
5,0.0,0.0,0.0,0.00040797020554920354
6,0.0,0.0,0.0,0.00037892497799676245
7,0.0,0.0,0.0,0.00034791251236868136
8,0.0,0.0,0.0,0.0003357591700058511
9,0.0,0.0,0.0,0.00033138510295832797
10,0.0,0.0,0.0,0.0009279269602583066
11,0.0,0.0,0.0,0.0002942345119849969
12,0.0,0.0,0.0,0.000288122241328682
13,0.0,0.0,0.0,0.00028739335860798385
