Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,4,1.0,2,0.0008759838021709618
2,4.0,1,2,0.0006961948339153947
3,4.0,1.0,2,0.0006197068128980038
4,3.5,2.0,3.0,0.0004932398522967811
5,4,2,3,0.0003876430811949629
6,4,2.0,4.0,0.00036613789319793293
7,4,2.0,4,0.0003544927882028837
8,4,2.0,4,0.00032139238399552536
9,4.0,2,4,0.0003125610498225087
10,5,2.0,5.0,0.0003049908312053891
11,5,2,5.0,0.0002872676023238367
12,5,2,5.0,0.00027605699233432333
13,5,2,5.0,0.00027605877505493
